source_file,result_csv,model,roi,n_images,n_voxels,clustering_method,distance_metric,linkage_method,normalization,best_k,silhouette,cluster_sizes,linkage_csv,dendrogram_png,distance_to_cluster_representative
murtylab_alexnet_random_nsd_1000_ppa_20260408181812489Z.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_alexnet_random_nsd_1000_ppa_20260408181812489Z_clusters.csv,alexnet_random,ppa,185,753,hierarchical,correlation,average,voxel_zscore,2,0.9654159829483593,"{'0': 96, '1': 89}",public/data/voxel_clusters_hierarchical_corr/murtylab_alexnet_random_nsd_1000_ppa_20260408181812489Z_linkage.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_alexnet_random_nsd_1000_ppa_20260408181812489Z_dendrogram.png,medoid_correlation_distance
murtylab_beit_nsd_1000_eba_20260408181943906Z.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_beit_nsd_1000_eba_20260408181943906Z_clusters.csv,beit,eba,185,2045,hierarchical,correlation,average,voxel_zscore,3,0.26973119219377195,"{'0': 62, '1': 45, '2': 78}",public/data/voxel_clusters_hierarchical_corr/murtylab_beit_nsd_1000_eba_20260408181943906Z_linkage.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_beit_nsd_1000_eba_20260408181943906Z_dendrogram.png,medoid_correlation_distance
murtylab_beit_nsd_1000_ffa_20260408181916663Z.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_beit_nsd_1000_ffa_20260408181916663Z_clusters.csv,beit,ffa,185,716,hierarchical,correlation,average,voxel_zscore,2,0.2956367787991356,"{'0': 88, '1': 97}",public/data/voxel_clusters_hierarchical_corr/murtylab_beit_nsd_1000_ffa_20260408181916663Z_linkage.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_beit_nsd_1000_ffa_20260408181916663Z_dendrogram.png,medoid_correlation_distance
murtylab_beit_nsd_1000_ppa_20260408182011671Z.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_beit_nsd_1000_ppa_20260408182011671Z_clusters.csv,beit,ppa,185,753,hierarchical,correlation,average,voxel_zscore,2,0.45612273789180874,"{'0': 64, '1': 121}",public/data/voxel_clusters_hierarchical_corr/murtylab_beit_nsd_1000_ppa_20260408182011671Z_linkage.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_beit_nsd_1000_ppa_20260408182011671Z_dendrogram.png,medoid_correlation_distance
murtylab_bit_nsd_1000_eba_20260408182145110Z.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_bit_nsd_1000_eba_20260408182145110Z_clusters.csv,bit,eba,185,2045,hierarchical,correlation,average,voxel_zscore,2,0.2688679545819487,"{'0': 73, '1': 112}",public/data/voxel_clusters_hierarchical_corr/murtylab_bit_nsd_1000_eba_20260408182145110Z_linkage.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_bit_nsd_1000_eba_20260408182145110Z_dendrogram.png,medoid_correlation_distance
murtylab_bit_nsd_1000_ffa_20260408182117124Z.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_bit_nsd_1000_ffa_20260408182117124Z_clusters.csv,bit,ffa,185,716,hierarchical,correlation,average,voxel_zscore,5,0.18981233607559456,"{'0': 24, '1': 28, '2': 51, '3': 51, '4': 31}",public/data/voxel_clusters_hierarchical_corr/murtylab_bit_nsd_1000_ffa_20260408182117124Z_linkage.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_bit_nsd_1000_ffa_20260408182117124Z_dendrogram.png,medoid_correlation_distance
murtylab_bit_nsd_1000_ppa_20260408182202935Z.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_bit_nsd_1000_ppa_20260408182202935Z_clusters.csv,bit,ppa,185,753,hierarchical,correlation,average,voxel_zscore,2,0.37214642459899727,"{'0': 77, '1': 108}",public/data/voxel_clusters_hierarchical_corr/murtylab_bit_nsd_1000_ppa_20260408182202935Z_linkage.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_bit_nsd_1000_ppa_20260408182202935Z_dendrogram.png,medoid_correlation_distance
murtylab_blip2_nsd_1000_eba_20260408182423525Z.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_blip2_nsd_1000_eba_20260408182423525Z_clusters.csv,blip2,eba,185,2045,hierarchical,correlation,average,voxel_zscore,3,0.36202151834759727,"{'0': 69, '1': 56, '2': 60}",public/data/voxel_clusters_hierarchical_corr/murtylab_blip2_nsd_1000_eba_20260408182423525Z_linkage.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_blip2_nsd_1000_eba_20260408182423525Z_dendrogram.png,medoid_correlation_distance
murtylab_blip2_nsd_1000_ffa_20260408182330045Z.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_blip2_nsd_1000_ffa_20260408182330045Z_clusters.csv,blip2,ffa,185,716,hierarchical,correlation,average,voxel_zscore,3,0.3175280420743004,"{'0': 52, '1': 52, '2': 81}",public/data/voxel_clusters_hierarchical_corr/murtylab_blip2_nsd_1000_ffa_20260408182330045Z_linkage.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_blip2_nsd_1000_ffa_20260408182330045Z_dendrogram.png,medoid_correlation_distance
murtylab_blip2_nsd_1000_ppa_20260408182513632Z.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_blip2_nsd_1000_ppa_20260408182513632Z_clusters.csv,blip2,ppa,185,753,hierarchical,correlation,average,voxel_zscore,2,0.45556542336595784,"{'0': 89, '1': 96}",public/data/voxel_clusters_hierarchical_corr/murtylab_blip2_nsd_1000_ppa_20260408182513632Z_linkage.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_blip2_nsd_1000_ppa_20260408182513632Z_dendrogram.png,medoid_correlation_distance
